STAGE,INDEX,NAME,CONTENT
1,1,할아버지,할멈, 몸은 좀 어떠슈?
1,2,할머니,콜록콜록.\n영감은 이게 괜찮아 보이슈?
1,3,할아버지,괜찮아 질거여. 의사선생님도 그랬잖어.\n3개월만 더 치료받으면 괜찮아 질 거라고.
1,4,할머니,아 참. 그랬었지?
1,5,할아버지,에휴… 이 할망구가…\n치매란 것도 정말 무서운 거여.
1,6,할머니,무슨 말을 하는겨?
1,7,할아버지,아무것도 아니여.
1,8,할머니,그나저나 영감. 내가 저번에 부탁했던 거 가져왔슈?
1,9,할아버지,당연히 가져왔지.
1,10,할머니,그건 또 안 잊었구먼. 다행이네.
1,11,할아버지,누가 할소리. 껄껄.
1,12,할아버지,자. 여기 있네.
2,1,할머니,이걸 보니까 옛 생각나는구려.
2,2,할아버지,그러게 말이여.
2,3,할머니,우리 처음 만났을 때 기억혀?\n내가 개울가에서 물장난 치고 있었을 때 몰래 다가와서 돌 던지고 그랬었잖슈.
2,4,할아버지,무슨 소리여?\n내가 할멈 처음 본 건 국민학교 입학식 때였지.\n그때 한눈에 뿅 가버렸잖어. 껄껄껄
2,5,할아버지,할멈. 자 보소. 여기 이 사진에 할멈이랑 처음 만났을 때잖슈.
2,6,할머니,에잇. 안 봐. 안 본당께.
2,7,할아버지,본인이 기억 못하니까 그러는 것 보슈.\n그럼 내 말이 맞는 거쥬?
2,8,할아버지,에휴- 이런 할멈 보살피기도 힘들구먼. 껄껄.
2,9,할아버지,그래도 뭐 어뗘. 늦둥이 딸 하나 키우는 느낌이지.
2,10,할머니,이 영감이 정말… 됐슈다.
2,11,할아버지,우리 할멈 삐졌쮸?
2,12,할머니,에잇. 됐다니께?
2,13,할머니,됐고, 우리 결혼식 때 찍은 사진이나 쥬슈.
2,14,할아버지,결혼식 때 찍은 사진?
2,15,할머니,그 결혼식 때 영감 혼자 찍은 거. 그것좀 주슈.
2,16,할아버지,알겠슈다.
2,17,할아버지,어디 보자…
3,1,할머니,그나저나 요즘 계속 이러고 있으니 우리 딸내미가 보고 싶구려.
3,2,할아버지,그러게 말이여…
3,3,할머니,영감.
3,4,할아버지,왜 부르는교?
3,5,할머니,혹시 그 사진도 있슈?
3,6,할아버지,어떤 거?
3,7,할머니,우리 아들내미 돌잔치 때 찍은 사진이었는데 말이여…
3,8,할머니,그 왜 있잖슈.\n돌잡이 직전에 울던거.
3,9,할아버지,우리 딸 돌잔치?\n허허… 그 때도 그립구먼…\n특히 돌잡이 때가…
3,10,할머니,이 망할 영감탱이가 또 딴길로 새는구먼.\n그래… 돌잡이 때 그런 일이 있었었지.
3,11,할머니,쌀을 잡았는데 그 쌀을 막 뿌리고 난리 났었지.
3,12,할아버지,무슨 소리여. 실 잡은 다음 그걸로 장난치다가 온 몸에 실이 칭칭 감겼었었지.
3,13,할머니,에구 이 망할 영감탱이야. 실은 우리 손주 돌잔치였고.
3,14,할아버지,그리고 그걸 보고 옆집에 살았던 김씨가 힘이 장군감이라며 재밌어 했었지.
3,15,할머니,옆집에 살던건 김씨가 아니고 이씨였어 이 영감아. 그리고 그건…
3,16,할머니,아 됐슈다. 어서 아까 말한 사진이나 주쇼.
3,17,할아버지,음? 그 사진이 뭐였더라?
3,18,할머니,에휴. 이영감아…\n돌잡이 전에 딸내미가 울던 거 있잖슈.
3,19,할머니,그 때가… 얼마나 귀여웠었는데…
3,20,할머니,애도 그렇고… 당신도 그렇고…
4,1,할아버지,할멈. 그거 기억혀?
4,2,할머니,뭐가 말인여?
4,3,할아버지,우리가 딸이랑 제주도로 여행 갔던거 말이여.
4,4,할머니,나야 기억하고 있지.\n영감이야 말로 용케 기억하고 있구먼.
4,5,할아버지,잊을리가 있나.\n할멈이 가자고 그렇게 떼써가지고 간건데 말이여.
4,6,할머니,내가 아니라 우리 딸내미였어 이 영감아.\n학교에서 바다 이야기를 듣고온 후 였지.
4,7,할아버지,할멈. 잘 보슈. 이 사진들 보면 알 수 있잖슈.
4,8,할머니,어디 한 번 봅시다.\n아, 영감. 혹시 영감이랑 우리 딸내미만 나온 사진 있슈?
4,9,할아버지,이 사진좀 보슈. 할멈이랑 우리 딸이랑 신나게 모래성 쌓았었잖어.
4,10,할아버지,이거 하고 싶다고 졸랐었잖슈.
4,11,할머니,딸내미가 하자고 해서 한거였지…
4,12,할아버지,아무튼 재밌었잖슈?
4,13,할머니,재미야 있었긴 있었지.\n신났었고…
4,14,할머니,영감이 나보다 더 신나긴 했었지만.
4,15,할머니,우리 딸내미랑…
4,16,할아버지,음? 할멈 뭐라 했었나?
4,17,할머니,아무것도 아니여...\n아무튼 어서 사진이나 주쇼.
5,1,할머니,영감… 혹시 그 사진 있슈?
5,2,할머니,17년 전에 딸내미가 명절 선물이랍시고 사줬던 사진기로 찍었던거.
5,3,할아버지,흠… 잠시만 기다려보쇼.
5,4,할아버지,있구려.
5,5,할머니,그 때 딸내미가 줬던 사진기의 사용법을 몰라 고생했던거 기억 나쇼?
5,6,할아버지,그랬었었나? 잘 모르겠구먼.
5,7,할머니,그때 찍은 사진들에 있을거여. 그것좀 주쇼.
5,8,할아버지,알겠수다.\n흠… 어디보자.
5,9,할머니,언넝 찾아주이소.
5,10,할아버지,오오. 이 때 사진들을 지금 다시 보니 그때의 추억이 떠오르는 구려.
5,11,할머니,이 영감 또 시작이군…
5,12,할아버지,이거 기억나슈?\n할멈이 토끼 모양으로 사과 깎아본다면서 사과 수십개를 날려먹었었잖수.
5,13,할머니,사과가 아니고 감이였어 이 영감아.
5,14,할아버지,사과던 감이던 맛있게 먹었었잖슈? 그럼 됐지 뭐.\n껄껄껄
5,15,할머니,그려그려. 사위가 사왔던 과일들 참말로 맛있었지.
5,16,할아버지,그나저나 이 사진들 보니 정말… 그립구려.
5,17,할머니,이 영감이 갑자기 왜 그런다?\n항상 어린애 같던 영감이 말이여…
5,18,할아버지,껄껄껄.
5,19,할머니,영감은 예나 지금이나 멍청하고 바보 같은 점이 좋았는데 말이여…
5,20,할머니,정말…
6,1,할머니,영감… 이제 마지막 부탁이 있는데 들어 줄 수 있는가?
6,2,할아버지,말하쇼. 기꺼이 들어줄 테니.
6,3,할머니,내가 죽거든 이 사진들과 함께 보내주오.
6,4,할아버지,알겠슈… 내 꼭 그러겠슈.\n그러니 아직 살아 있는 동안은 그런말 하지 말어.
6,5,할머니,영감도 참… 그 말만 열 번째여…
